Table of Measured Values
Task,T302
Scope 1/1, Sample 1/20 (3/12-1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-70.4,20.3,NaN,,
0.0010,1,-70.3,20.3,0.0010,,
0.0025,2,-70.3,20.3,0.0015,,
0.0050,3,-70.2,20.3,0.0020,,
0.0090,4,-70.3,20.3,0.0035,,
0.0150,5,-70.2,20.3,0.0055,,
0.0235,6,-70.0,20.3,0.0075,,
0.0320,7,-69.9,20.3,0.0075,,
0.0405,8,-69.5,20.3,0.0075,,
0.0490,9,-69.2,20.3,0.0075,,
0.0565,10,-68.9,20.3,0.0070,,
0.0650,11,-68.3,20.3,0.0075,,
0.0735,12,-67.7,20.3,0.0075,,
0.0820,13,-66.9,20.3,0.0075,,
0.0900,14,-66.1,20.3,0.0075,,
0.0985,15,-65.4,20.3,0.0075,,
0.1060,16,-64.5,20.3,0.0070,,
0.1145,17,-63.6,20.3,0.0075,,
0.1230,18,-62.8,20.3,0.0075,,
0.1315,19,-61.7,20.3,0.0075,,
0.1400,20,-60.6,20.3,0.0075,,
0.1485,21,-59.4,20.3,0.0075,,
0.1560,22,-58.2,20.3,0.0070,,
0.1645,23,-57.0,20.3,0.0075,,
0.1725,24,-55.6,20.3,0.0075,,
0.1810,25,-54.1,20.3,0.0075,,
0.1895,26,-52.8,20.3,0.0075,,
0.1980,27,-51.3,20.3,0.0075,,
0.2055,28,-50.0,20.3,0.0070,,
0.2140,29,-48.4,20.3,0.0075,,
0.2225,30,-46.6,20.3,0.0075,,
0.2310,31,-44.9,20.3,0.0075,,
0.2395,32,-43.1,20.3,0.0075,,
0.2475,33,-41.5,20.3,0.0075,,
0.2555,34,-39.9,20.3,0.0075,,
0.2635,35,-38.0,20.3,0.0075,,
0.2720,36,-36.1,20.3,0.0075,,
0.2805,37,-34.1,20.3,0.0075,,
0.2890,38,-32.3,20.3,0.0075,,
0.2975,39,-30.4,20.3,0.0075,,
0.3050,40,-28.8,20.3,0.0070,,
0.3135,41,-27.2,20.3,0.0075,,
0.3220,42,-25.5,20.3,0.0075,,
0.3305,43,-23.9,20.3,0.0075,,
0.3385,44,-22.2,20.3,0.0075,,
0.3470,45,-20.8,20.3,0.0075,,
0.3545,46,-19.5,20.3,0.0070,,
0.3630,47,-18.1,20.3,0.0075,,
0.3715,48,-16.7,20.3,0.0075,,
0.3800,49,-15.4,20.3,0.0075,,
0.3885,50,-14.2,20.3,0.0075,,
0.3970,51,-13.0,20.3,0.0075,,
0.4045,52,-11.9,20.3,0.0070,,
0.4130,53,-10.8,20.3,0.0075,,
0.4215,54,-9.8,20.3,0.0075,,
0.4295,55,-8.7,20.3,0.0075,,
0.4380,56,-7.7,20.3,0.0075,,
0.4465,57,-6.6,20.3,0.0075,,
0.4540,58,-5.8,20.3,0.0070,,
0.4625,59,-4.7,20.3,0.0075,,
0.4710,60,-3.6,20.3,0.0075,,
0.4795,61,-2.6,20.3,0.0075,,
0.4880,62,-1.4,20.3,0.0075,,
0.4960,63,-0.3,20.3,0.0075,,
0.5040,64,0.1,20.3,0.0075,,
0.5125,65,0.7,20.3,0.0075,,
0.5205,66,1.6,20.3,0.0075,,
0.5290,67,2.8,20.3,0.0075,,
0.5375,68,3.5,20.3,0.0075,,
0.5460,69,4.4,20.3,0.0075,,
0.5545,70,5.1,20.3,0.0075,,
0.5620,71,5.8,20.3,0.0070,,
0.5705,72,6.6,20.3,0.0075,,
0.5790,73,7.3,20.3,0.0075,,
0.5870,74,8.2,20.3,0.0075,,
0.5955,75,9.1,20.3,0.0075,,
0.6040,76,10.2,20.4,0.0070,,
0.6115,77,11.1,20.3,0.0070,,
0.6200,78,12.1,20.3,0.0075,,
0.6285,79,13.1,20.3,0.0075,,
0.6370,80,14.0,20.3,0.0075,,
0.6455,81,14.8,20.4,0.0075,,
0.6535,82,15.6,20.4,0.0075,,
0.6615,83,16.3,20.4,0.0075,,
0.6695,84,17.1,20.4,0.0075,,
0.6780,85,18.0,20.4,0.0075,,
0.6865,86,18.8,20.4,0.0075,,
0.6950,87,19.6,20.4,0.0075,,
0.7035,88,20.4,20.4,0.0070,,
0.7110,89,21.1,20.4,0.0070,,
0.7195,90,21.9,20.4,0.0075,,
0.7280,91,22.8,20.4,0.0075,,
0.7365,92,23.5,20.4,0.0075,,
0.7445,93,24.3,20.4,0.0075,,
0.7530,94,25.1,20.4,0.0070,,
0.7605,95,25.9,20.4,0.0070,,
0.7690,96,26.7,20.4,0.0075,,
0.7775,97,27.4,20.4,0.0075,,
0.7860,98,28.3,20.4,0.0075,,
0.7945,99,29.0,20.4,0.0075,,
0.8030,100,29.8,20.4,0.0070,,
0.8105,101,30.6,20.4,0.0070,,
0.8190,102,31.3,20.4,0.0075,,
0.8275,103,32.2,20.4,0.0075,,
0.8355,104,32.9,20.4,0.0075,,
0.8440,105,33.7,20.4,0.0075,,
0.8525,106,34.5,20.4,0.0070,,
0.8600,107,35.1,20.4,0.0070,,
0.8685,108,35.9,20.4,0.0075,,
0.8770,109,36.7,20.4,0.0075,,
0.8855,110,37.5,20.4,0.0075,,
0.8940,111,38.3,20.4,0.0075,,
0.9020,112,39.0,20.4,0.0075,,
0.9100,113,39.6,20.4,0.0075,,
0.9185,114,40.4,20.4,0.0075,,
0.9265,115,41.2,20.4,0.0075,,
0.9350,116,41.9,20.4,0.0075,,
0.9435,117,42.6,20.4,0.0075,,
0.9520,118,43.3,20.4,0.0075,,
0.9595,119,44.0,20.4,0.0070,,
0.9680,120,44.7,20.4,0.0075,,
0.9765,121,45.4,20.4,0.0075,,
0.9850,122,46.1,20.4,0.0075,,
0.9930,123,46.9,20.4,0.0075,,
1.0015,124,47.6,20.4,0.0075,,
1.0090,125,48.1,20.4,0.0070,,
1.0175,126,48.8,20.4,0.0075,,
1.0260,127,49.6,20.4,0.0075,,
1.0345,128,50.3,20.4,0.0075,,
1.0430,129,50.9,20.4,0.0075,,
1.0515,130,51.8,20.4,0.0075,,
1.0590,131,52.4,20.4,0.0070,,
1.0675,132,53.1,20.4,0.0075,,
1.0760,133,53.8,20.4,0.0075,,
1.0840,134,54.5,20.4,0.0075,,
1.0925,135,55.2,20.4,0.0075,,
1.1010,136,55.9,20.4,0.0075,,
1.1095,137,56.4,20.4,0.0075,,
1.1170,138,57.2,20.4,0.0070,,
1.1255,139,57.8,20.4,0.0075,,
1.1340,140,58.5,20.4,0.0075,,
1.1425,141,59.3,20.4,0.0075,,
1.1510,142,60.0,20.4,0.0075,,
1.1590,143,60.6,20.4,0.0075,,
1.1670,144,61.3,20.4,0.0075,,
1.1750,145,62.1,20.4,0.0075,,
1.1835,146,62.8,20.4,0.0075,,
1.1920,147,63.4,20.4,0.0075,,
1.2005,148,64.1,20.4,0.0075,,
1.2080,149,64.8,20.4,0.0070,,
1.2165,150,65.5,20.4,0.0075,,
1.2250,151,66.2,20.4,0.0075,,
1.2335,152,67.0,20.4,0.0075,,
1.2420,153,67.7,20.4,0.0075,,
1.2500,154,68.4,20.4,0.0075,,
1.2585,155,69.2,20.4,0.0075,,
1.2660,156,69.9,20.4,0.0070,,
1.2745,157,70.7,20.4,0.0075,,
1.2830,158,71.4,20.4,0.0075,,
1.2915,159,72.3,20.4,0.0075,,
1.3000,160,73.0,20.4,0.0075,,
1.3085,161,73.7,20.4,0.0075,,
1.3160,162,74.4,20.4,0.0070,,
1.3245,163,75.3,20.4,0.0075,,
1.3325,164,76.1,20.4,0.0075,,
1.3410,165,76.9,20.4,0.0075,,
1.3495,166,77.9,20.4,0.0075,,
1.3580,167,78.7,20.4,0.0070,,
1.3655,168,79.4,20.4,0.0070,,
1.3740,169,80.4,20.4,0.0075,,
1.3825,170,81.4,20.4,0.0075,,
1.3910,171,82.3,20.4,0.0075,,
1.3995,172,83.2,20.4,0.0075,,
1.4075,173,84.3,20.4,0.0065,,
1.4155,174,85.1,20.4,0.0075,,
1.4235,175,86.1,20.4,0.0075,,
1.4320,176,87.1,20.4,0.0075,,
1.4405,177,88.1,20.4,0.0075,,
1.4490,178,89.1,20.4,0.0075,,
1.4575,179,90.3,20.4,0.0070,,
1.4650,180,91.4,20.4,0.0070,,
1.4735,181,92.7,20.4,0.0075,,
1.4820,182,93.9,20.4,0.0075,,
1.4900,183,95.3,20.4,0.0075,,
1.4985,184,96.9,20.4,0.0075,,
1.5070,185,98.3,20.4,0.0075,,
1.5145,186,99.4,20.4,0.0070,,
1.5230,187,100.7,20.4,0.0075,,
1.5315,188,102.1,20.4,0.0075,,
1.5400,189,103.7,20.4,0.0075,,
1.5485,190,105.1,20.4,0.0075,,
1.5570,191,106.7,20.4,0.0075,,
1.5645,192,108.3,20.4,0.0070,,
1.5730,193,110.4,20.4,0.0075,,
1.5810,194,112.3,20.4,0.0075,,
1.5895,195,114.6,20.4,0.0075,,
1.5980,196,116.8,20.4,0.0075,,
1.6065,197,118.9,20.4,0.0075,,
1.6140,198,121.2,20.4,0.0070,,
1.6225,199,123.8,20.4,0.0075,,
1.6310,200,126.3,20.4,0.0075,,
1.6395,201,129.0,20.4,0.0075,,
1.6480,202,132.2,20.4,0.0075,,
1.6560,203,135.4,20.4,0.0075,,
1.6640,204,138.4,20.4,0.0075,,
1.6720,205,141.5,20.4,0.0075,,
1.6805,206,144.8,20.4,0.0075,,
1.6890,207,147.9,20.4,0.0075,,
1.6975,208,151.5,20.4,0.0075,,
1.7060,209,154.3,20.4,0.0075,,
1.7135,210,156.5,20.4,0.0070,,
1.7220,211,159.3,20.4,0.0075,,
1.7305,212,162.1,20.4,0.0075,,
1.7390,213,164.3,20.4,0.0075,,
1.7470,214,166.3,20.4,0.0075,,
1.7555,215,169.0,20.4,0.0075,,
1.7630,216,170.8,20.4,0.0070,,
1.7715,217,172.5,20.4,0.0075,,
1.7800,218,174.0,20.4,0.0075,,
1.7885,219,175.9,20.4,0.0075,,
1.7970,220,177.2,20.4,0.0075,,
1.8055,221,178.8,20.4,0.0075,,
1.8130,222,180.5,20.4,0.0070,,
1.8215,223,181.5,20.4,0.0075,,
1.8300,224,183.0,20.4,0.0075,,
1.8380,225,184.6,20.4,0.0075,,
1.8445,226,185.1,20.4,0.0070,,
1.8445,646,187.9,20.5,0.0000,,
1.8450,647,188.0,20.5,0.0005,,
1.8465,648,188.0,20.5,0.0015,,
1.8490,649,188.0,20.5,0.0025,,
1.8530,650,188.1,20.5,0.0035,,
1.8595,651,188.3,20.5,0.0060,,
1.8680,652,188.8,20.5,0.0075,,
1.8760,653,189.3,20.5,0.0080,,
